时间,流量
2018/7/8 15:50,520
2018/7/8 16:05,500
2018/7/8 16:20,492
2018/7/8 16:35,508
2018/7/8 16:50,492
2018/7/8 17:05,492
2018/7/8 17:20,477
2018/7/8 17:35,462
2018/7/8 17:50,431
2018/7/8 18:05,413
2018/7/8 18:20,396
2018/7/8 18:35,378
2018/7/8 18:50,384
2018/7/8 19:05,392
2018/7/8 19:20,400
2018/7/8 19:35,372
2018/7/8 19:50,386
2018/7/8 20:05,365
2018/7/8 20:20,344
2018/7/8 20:35,304
2018/7/8 20:50,290
2018/7/8 21:05,240
2018/7/8 21:20,198
2018/7/8 21:35,171
2018/7/8 21:50,155
2018/7/8 22:05,140
2018/7/8 22:20,128
2018/7/8 22:35,119
2018/7/8 22:50,102
2018/7/8 23:05,94
2018/7/8 23:20,90
2018/7/8 23:35,76
2018/7/8 23:50,80
2018/7/9 0:05,72
2018/7/9 0:20,70
2018/7/9 0:35,66
2018/7/9 0:50,58
2018/7/9 1:05,46
2018/7/9 1:20,42
2018/7/9 1:35,41
2018/7/9 1:50,41
2018/7/9 2:05,53
2018/7/9 2:20,66
2018/7/9 2:35,69
2018/7/9 2:50,79
2018/7/9 3:05,82
2018/7/9 3:20,90
2018/7/9 3:35,94
2018/7/9 3:50,117
2018/7/9 4:05,165
2018/7/9 4:20,225
2018/7/9 4:35,286
2018/7/9 4:50,240
2018/7/9 5:05,287
2018/7/9 5:20,322
2018/7/9 5:35,330
2018/7/9 5:50,328
2018/7/9 6:05,330
2018/7/9 6:20,324
2018/7/9 6:35,326
2018/7/9 6:50,344
2018/7/9 7:05,321
2018/7/9 7:20,362
2018/7/9 7:35,388
2018/7/9 7:50,396
2018/7/9 8:05,396
2018/7/9 8:20,407
2018/7/9 8:35,415
2018/7/9 8:50,450
2018/7/9 9:05,451
2018/7/9 9:20,470
2018/7/9 9:35,473
2018/7/9 9:50,444
2018/7/9 10:05,423
2018/7/9 10:20,410
2018/7/9 10:35,393
2018/7/9 10:50,399
2018/7/9 11:05,395
2018/7/9 11:20,409
2018/7/9 11:35,418
2018/7/9 11:50,408
2018/7/9 12:05,381
2018/7/9 12:20,376
2018/7/9 12:35,372
2018/7/9 12:50,384
2018/7/9 13:05,402
2018/7/9 13:20,408
2018/7/9 13:35,406
2018/7/9 13:50,413
2018/7/9 14:05,417
2018/7/9 14:20,396
2018/7/9 14:35,394
2018/7/9 14:50,391
2018/7/9 15:05,396
2018/7/9 15:20,404
2018/7/9 15:35,400
2018/7/9 15:50,403
2018/7/9 16:05,397
2018/7/9 16:20,398
2018/7/9 16:35,374
2018/7/9 16:50,378
2018/7/9 17:05,363
2018/7/9 17:20,355
2018/7/9 17:35,325
2018/7/9 17:50,314
2018/7/9 18:05,299
2018/7/9 18:20,276
2018/7/9 18:35,273
2018/7/9 18:50,286
2018/7/9 19:05,281
2018/7/9 19:20,295
2018/7/9 19:35,299
2018/7/9 19:50,296
2018/7/9 20:05,278
2018/7/9 20:20,252
2018/7/9 20:35,244
2018/7/9 20:50,215
2018/7/9 21:05,276
2018/7/9 21:20,227
2018/7/9 21:35,184
2018/7/9 21:50,166
2018/7/9 22:05,147
2018/7/9 22:20,133
2018/7/9 22:35,126
2018/7/9 22:50,108
2018/7/9 23:05,96
2018/7/9 23:20,77
2018/7/9 23:35,65
2018/7/9 23:50,58
